Feature_Name,Original_Dataset,Original_Column,Modality,Data_Type,Numerical_Categorical,Target_Variable,Missing_Percentage,Unique_Values,Description,Clinical_Meaning,Transformation_Applied,Normalization_Required,Recommended_ML_Encoding,Recommended_DL_Encoding,Suitable_for_GNN,Suitable_for_Explainability,Suitable_for_Inference
Unive_SCENT_25_RESPONSE,Infer_UPSIT,SCENT_25_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_25_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_26_CORRECT,Infer_UPSIT,SCENT_26_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_26_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_26_RESPONSE,Infer_UPSIT,SCENT_26_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_26_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_27_CORRECT,Infer_UPSIT,SCENT_27_CORRECT,UPSIT,float64,Categorical,No,91.46,2,Auto-extracted feature Unive_SCENT_27_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_27_RESPONSE,Infer_UPSIT,SCENT_27_RESPONSE,UPSIT,float64,Categorical,No,91.46,4,Auto-extracted feature Unive_SCENT_27_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_28_CORRECT,Infer_UPSIT,SCENT_28_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_28_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_28_RESPONSE,Infer_UPSIT,SCENT_28_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_28_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_29_CORRECT,Infer_UPSIT,SCENT_29_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_29_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_29_RESPONSE,Infer_UPSIT,SCENT_29_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_29_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_30_CORRECT,Infer_UPSIT,SCENT_30_CORRECT,UPSIT,float64,Categorical,No,91.32,2,Auto-extracted feature Unive_SCENT_30_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_30_RESPONSE,Infer_UPSIT,SCENT_30_RESPONSE,UPSIT,float64,Categorical,No,91.32,4,Auto-extracted feature Unive_SCENT_30_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_31_CORRECT,Infer_UPSIT,SCENT_31_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_31_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_31_RESPONSE,Infer_UPSIT,SCENT_31_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_31_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_32_CORRECT,Infer_UPSIT,SCENT_32_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_32_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_32_RESPONSE,Infer_UPSIT,SCENT_32_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_32_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_33_CORRECT,Infer_UPSIT,SCENT_33_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_33_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_33_RESPONSE,Infer_UPSIT,SCENT_33_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_33_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_34_CORRECT,Infer_UPSIT,SCENT_34_CORRECT,UPSIT,float64,Categorical,No,93.52,2,Auto-extracted feature Unive_SCENT_34_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_34_RESPONSE,Infer_UPSIT,SCENT_34_RESPONSE,UPSIT,float64,Categorical,No,93.52,4,Auto-extracted feature Unive_SCENT_34_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_35_CORRECT,Infer_UPSIT,SCENT_35_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_35_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_35_RESPONSE,Infer_UPSIT,SCENT_35_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_35_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_36_CORRECT,Infer_UPSIT,SCENT_36_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_36_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_36_RESPONSE,Infer_UPSIT,SCENT_36_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_36_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_37_CORRECT,Infer_UPSIT,SCENT_37_CORRECT,UPSIT,float64,Categorical,No,91.8,2,Auto-extracted feature Unive_SCENT_37_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_37_RESPONSE,Infer_UPSIT,SCENT_37_RESPONSE,UPSIT,float64,Categorical,No,91.8,4,Auto-extracted feature Unive_SCENT_37_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_38_CORRECT,Infer_UPSIT,SCENT_38_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_38_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_38_RESPONSE,Infer_UPSIT,SCENT_38_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_38_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_39_CORRECT,Infer_UPSIT,SCENT_39_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_39_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_39_RESPONSE,Infer_UPSIT,SCENT_39_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_39_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_40_CORRECT,Infer_UPSIT,SCENT_40_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_40_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_40_RESPONSE,Infer_UPSIT,SCENT_40_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_40_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_TOTAL_CORRECT,Infer_UPSIT,TOTAL_CORRECT,UPSIT,float64,Numerical,No,91.46,35,Auto-extracted feature Unive_TOTAL_CORRECT,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Unive_upsitorder,Infer_UPSIT,upsitorder,UPSIT,float64,Categorical,No,100.0,0,Auto-extracted feature Unive_upsitorder,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_UPSITFORM,Infer_UPSIT,UPSITFORM,UPSIT,float64,Categorical,No,91.25,2,Auto-extracted feature Unive_UPSITFORM,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_UPSIT_PRCNTGE,Infer_UPSIT,UPSIT_PRCNTGE,UPSIT,float64,Numerical,No,91.46,105,Auto-extracted feature Unive_UPSIT_PRCNTGE,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Unive_UPSIT_PRCTVER,Infer_UPSIT,UPSIT_PRCTVER,UPSIT,str,Categorical,No,91.25,2,Auto-extracted feature Unive_UPSIT_PRCTVER,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_IMPUTED_DATA,Infer_UPSIT,IMPUTED_DATA,UPSIT,object,Categorical,No,91.25,2,Auto-extracted feature Unive_IMPUTED_DATA,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_UPSIT_SOURCE,Infer_UPSIT,UPSIT_SOURCE,UPSIT,str,Categorical,No,91.25,1,Auto-extracted feature Unive_UPSIT_SOURCE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_UPSITLANGCNTR,Infer_UPSIT,UPSITLANGCNTR,UPSIT,str,Categorical,No,96.49,12,Auto-extracted feature Unive_UPSITLANGCNTR,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_ORIG_ENTRY,Infer_UPSIT,ORIG_ENTRY,UPSIT,str,Categorical,No,91.25,54,Auto-extracted feature Unive_ORIG_ENTRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_LAST_UPDATE,Infer_UPSIT,LAST_UPDATE,UPSIT,str,Categorical,No,91.25,495,Auto-extracted feature Unive_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_SEX,Infer_Proteomics/Biospecimens,SEX,Proteomics/Biospecimens,str,Categorical,No,67.71,2,Auto-extracted feature Curre_SEX,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_COHORT,Infer_Proteomics/Biospecimens,COHORT,Proteomics/Biospecimens,str,Categorical,No,67.71,2,Auto-extracted feature Curre_COHORT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_TYPE,Infer_Proteomics/Biospecimens,TYPE,Proteomics/Biospecimens,str,Categorical,No,67.71,17,Auto-extracted feature Curre_TYPE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_TESTNAME,Infer_Proteomics/Biospecimens,TESTNAME,Proteomics/Biospecimens,str,Categorical,No,67.71,42,Auto-extracted feature Curre_TESTNAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_TESTVALUE,Infer_Proteomics/Biospecimens,TESTVALUE,Proteomics/Biospecimens,str,Categorical,No,67.71,2053,Auto-extracted feature Curre_TESTVALUE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_UNITS,Infer_Proteomics/Biospecimens,UNITS,Proteomics/Biospecimens,str,Categorical,No,69.65,23,Auto-extracted feature Curre_UNITS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_RUNDATE,Infer_Proteomics/Biospecimens,RUNDATE,Proteomics/Biospecimens,str,Categorical,No,67.71,324,Auto-extracted feature Curre_RUNDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_PROJECTID,Infer_Proteomics/Biospecimens,PROJECTID,Proteomics/Biospecimens,float64,Numerical,No,67.71,33,Auto-extracted feature Curre_PROJECTID,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Curre_PI_NAME,Infer_Proteomics/Biospecimens,PI_NAME,Proteomics/Biospecimens,str,Categorical,No,67.71,30,Auto-extracted feature Curre_PI_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_PI_INSTITUTION,Infer_Proteomics/Biospecimens,PI_INSTITUTION,Proteomics/Biospecimens,str,Categorical,No,67.71,29,Auto-extracted feature Curre_PI_INSTITUTION,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Curre_update_stamp,Infer_Proteomics/Biospecimens,update_stamp,Proteomics/Biospecimens,str,Categorical,No,67.71,61,Auto-extracted feature Curre_update_stamp,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_SEX,Infer_Proteomics/Biospecimens,SEX,Proteomics/Biospecimens,str,Categorical,No,98.9,2,Auto-extracted feature Kinet_SEX,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_COHORT,Infer_Proteomics/Biospecimens,COHORT,Proteomics/Biospecimens,str,Categorical,No,98.9,2,Auto-extracted feature Kinet_COHORT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_AMPRION_ID,Infer_Proteomics/Biospecimens,AMPRION_ID,Proteomics/Biospecimens,str,Categorical,No,98.9,97,Auto-extracted feature Kinet_AMPRION_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_TYPE,Infer_Proteomics/Biospecimens,TYPE,Proteomics/Biospecimens,str,Categorical,No,98.9,1,Auto-extracted feature Kinet_TYPE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_SAAMethod,Infer_Proteomics/Biospecimens,SAAMethod,Proteomics/Biospecimens,str,Categorical,No,98.9,1,Auto-extracted feature Kinet_SAAMethod,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_SAA_Result,Infer_Proteomics/Biospecimens,SAA_Result,Proteomics/Biospecimens,str,Categorical,No,98.9,2,Auto-extracted feature Kinet_SAA_Result,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_RUNDATE,Infer_Proteomics/Biospecimens,RUNDATE,Proteomics/Biospecimens,str,Categorical,No,98.9,12,Auto-extracted feature Kinet_RUNDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_Plate_ID,Infer_Proteomics/Biospecimens,Plate_ID,Proteomics/Biospecimens,str,Categorical,No,98.9,21,Auto-extracted feature Kinet_Plate_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_Wells,Infer_Proteomics/Biospecimens,Wells,Proteomics/Biospecimens,str,Categorical,No,98.9,33,Auto-extracted feature Kinet_Wells,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_Fmax,Infer_Proteomics/Biospecimens,Fmax,Proteomics/Biospecimens,float64,Numerical,No,98.9,97,Auto-extracted feature Kinet_Fmax,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Kinet_TTT,Infer_Proteomics/Biospecimens,TTT,Proteomics/Biospecimens,float64,Numerical,No,98.9,60,Auto-extracted feature Kinet_TTT,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Kinet_AUC_Fluoro,Infer_Proteomics/Biospecimens,AUC_Fluoro,Proteomics/Biospecimens,float64,Numerical,No,98.9,96,Auto-extracted feature Kinet_AUC_Fluoro,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Kinet_Time_To_Max_Slope,Infer_Proteomics/Biospecimens,Time_To_Max_Slope,Proteomics/Biospecimens,float64,Numerical,No,98.9,39,Auto-extracted feature Kinet_Time_To_Max_Slope,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Kinet_Max_Slope,Infer_Proteomics/Biospecimens,Max_Slope,Proteomics/Biospecimens,float64,Numerical,No,98.9,76,Auto-extracted feature Kinet_Max_Slope,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
Kinet_PROJECTID,Infer_Proteomics/Biospecimens,PROJECTID,Proteomics/Biospecimens,float64,Categorical,No,98.9,1,Auto-extracted feature Kinet_PROJECTID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_PI_NAME,Infer_Proteomics/Biospecimens,PI_NAME,Proteomics/Biospecimens,str,Categorical,No,98.9,1,Auto-extracted feature Kinet_PI_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Kinet_PI_INSTITUTION,Infer_Proteomics/Biospecimens,PI_INSTITUTION,Proteomics/Biospecimens,str,Categorical,No,98.9,1,Auto-extracted feature Kinet_PI_INSTITUTION,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_SEX,Infer_Clinical,SEX,Clinical,str,Categorical,No,83.17,2,Auto-extracted feature SAA_SEX,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_COHORT,Infer_Clinical,COHORT,Clinical,str,Categorical,No,83.17,2,Auto-extracted feature SAA_COHORT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_TYPE,Infer_Clinical,TYPE,Clinical,str,Categorical,No,83.17,2,Auto-extracted feature SAA_TYPE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_SAAMethod,Infer_Clinical,SAAMethod,Clinical,str,Categorical,No,83.17,2,Auto-extracted feature SAA_SAAMethod,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_SAA_Status,Infer_Clinical,SAA_Status,Clinical,str,Categorical,No,83.17,3,Auto-extracted feature SAA_SAA_Status,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_SAA_Type,Infer_Clinical,SAA_Type,Clinical,str,Categorical,No,90.27,3,Auto-extracted feature SAA_SAA_Type,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SAA_Fmax_24h_Rep1,Infer_Clinical,Fmax_24h_Rep1,Clinical,float64,Numerical,No,87.32,1024,Auto-extracted feature SAA_Fmax_24h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_Fmax_24h_Rep2,Infer_Clinical,Fmax_24h_Rep2,Clinical,float64,Numerical,No,87.32,1013,Auto-extracted feature SAA_Fmax_24h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_Fmax_24h_Rep3,Infer_Clinical,Fmax_24h_Rep3,Clinical,float64,Numerical,No,87.32,1020,Auto-extracted feature SAA_Fmax_24h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_24h_Rep1,Infer_Clinical,TTT_24h_Rep1,Clinical,float64,Numerical,No,90.1,550,Auto-extracted feature SAA_TTT_24h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_24h_Rep2,Infer_Clinical,TTT_24h_Rep2,Clinical,float64,Numerical,No,90.25,546,Auto-extracted feature SAA_TTT_24h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_24h_Rep3,Infer_Clinical,TTT_24h_Rep3,Clinical,float64,Numerical,No,90.18,544,Auto-extracted feature SAA_TTT_24h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_24h_Rep1,Infer_Clinical,AUC_24h_Rep1,Clinical,float64,Numerical,No,87.32,1053,Auto-extracted feature SAA_AUC_24h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_24h_Rep2,Infer_Clinical,AUC_24h_Rep2,Clinical,float64,Numerical,No,87.32,1056,Auto-extracted feature SAA_AUC_24h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_24h_Rep3,Infer_Clinical,AUC_24h_Rep3,Clinical,float64,Numerical,No,87.32,1047,Auto-extracted feature SAA_AUC_24h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TSmax_24h_Rep1,Infer_Clinical,TSmax_24h_Rep1,Clinical,float64,Numerical,No,87.32,272,Auto-extracted feature SAA_TSmax_24h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TSmax_24h_Rep2,Infer_Clinical,TSmax_24h_Rep2,Clinical,float64,Numerical,No,87.32,285,Auto-extracted feature SAA_TSmax_24h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TSmax_24h_Rep3,Infer_Clinical,TSmax_24h_Rep3,Clinical,float64,Numerical,No,87.32,268,Auto-extracted feature SAA_TSmax_24h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_SLOPEMax_24h_Rep1,Infer_Clinical,SLOPEMax_24h_Rep1,Clinical,float64,Numerical,No,87.32,793,Auto-extracted feature SAA_SLOPEMax_24h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_SLOPEMax_24h_Rep2,Infer_Clinical,SLOPEMax_24h_Rep2,Clinical,float64,Numerical,No,87.32,780,Auto-extracted feature SAA_SLOPEMax_24h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_SLOPEMax_24h_Rep3,Infer_Clinical,SLOPEMax_24h_Rep3,Clinical,float64,Numerical,No,87.32,790,Auto-extracted feature SAA_SLOPEMax_24h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_Fmax_150h_Rep1,Infer_Clinical,Fmax_150h_Rep1,Clinical,float64,Numerical,No,95.85,317,Auto-extracted feature SAA_Fmax_150h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_Fmax_150h_Rep2,Infer_Clinical,Fmax_150h_Rep2,Clinical,float64,Numerical,No,95.85,318,Auto-extracted feature SAA_Fmax_150h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_Fmax_150h_Rep3,Infer_Clinical,Fmax_150h_Rep3,Clinical,float64,Numerical,No,95.85,324,Auto-extracted feature SAA_Fmax_150h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_150h_Rep1,Infer_Clinical,TTT_150h_Rep1,Clinical,float64,Numerical,No,96.97,258,Auto-extracted feature SAA_TTT_150h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_150h_Rep2,Infer_Clinical,TTT_150h_Rep2,Clinical,float64,Numerical,No,96.97,260,Auto-extracted feature SAA_TTT_150h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_TTT_150h_Rep3,Infer_Clinical,TTT_150h_Rep3,Clinical,float64,Numerical,No,96.88,260,Auto-extracted feature SAA_TTT_150h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_150h_Rep1,Infer_Clinical,AUC_150h_Rep1,Clinical,float64,Numerical,No,96.97,267,Auto-extracted feature SAA_AUC_150h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_150h_Rep2,Infer_Clinical,AUC_150h_Rep2,Clinical,float64,Numerical,No,96.97,267,Auto-extracted feature SAA_AUC_150h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_AUC_150h_Rep3,Infer_Clinical,AUC_150h_Rep3,Clinical,float64,Numerical,No,96.88,275,Auto-extracted feature SAA_AUC_150h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_T50_150h_Rep1,Infer_Clinical,T50_150h_Rep1,Clinical,float64,Numerical,No,96.97,261,Auto-extracted feature SAA_T50_150h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_T50_150h_Rep2,Infer_Clinical,T50_150h_Rep2,Clinical,float64,Numerical,No,96.98,257,Auto-extracted feature SAA_T50_150h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_T50_150h_Rep3,Infer_Clinical,T50_150h_Rep3,Clinical,float64,Numerical,No,96.89,266,Auto-extracted feature SAA_T50_150h_Rep3,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_SLOPE_150h_Rep1,Infer_Clinical,SLOPE_150h_Rep1,Clinical,float64,Numerical,No,96.97,267,Auto-extracted feature SAA_SLOPE_150h_Rep1,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
SAA_SLOPE_150h_Rep2,Infer_Clinical,SLOPE_150h_Rep2,Clinical,float64,Numerical,No,96.97,267,Auto-extracted feature SAA_SLOPE_150h_Rep2,Requires manual annotation,Prefix standardized,Yes,StandardScaler,Continuous/Embedding,Yes,Yes,Yes
